Episode,Average_Score,Average_Lines,Epsilon,Loss
100,3.151999999999999,0.0,0.9354726819705771,0.00022136716870591044
200,2.682,0.0,0.8849659490117532,0.00036120705772191286
300,2.4960000000000004,0.0,0.8394496750627115,0.0006893929094076157
400,2.172,0.0,0.8046797830562106,0.0010395916178822517
500,2.0335,0.0,0.773126291102573,0.0007606158033013344
600,2.0860000000000007,0.0,0.7414000202165908,0.000692069879733026
700,1.8845000000000005,0.0,0.7156838741169741,0.0008206224883906543
800,1.9260000000000008,0.0,0.6893414197997354,0.0009543724590912461
900,1.9695000000000003,0.0,0.6638357753568291,0.0024397678207606077
1000,1.928000000000001,0.0,0.6392738401989917,0.001436013961210847
1100,1.9450000000000005,0.0,0.6156822652928997,0.0032415972091257572
1200,2.0020000000000007,0.0,0.5920724873493127,0.0015341935213655233
1300,2.0515000000000003,0.0,0.5695389262101992,0.006934402510523796
1400,2.0415000000000005,0.0,0.5470964552969325,0.002635374665260315
1500,1.9315000000000007,0.0,0.5272228222755642,0.006273623555898666
1600,2.070500000000001,0.0,0.5065491065556748,0.0034494376741349697
1700,2.2670000000000003,0.0,0.4845976972758932,0.006325408350676298
1800,2.2295000000000003,0.0,0.46410782023267466,0.007986564189195633
1900,2.2695000000000003,0.0,0.443596176537794,0.004533002153038979
2000,2.3255000000000003,0.0,0.42360962319645773,0.003422706387937069
2100,2.497999999999999,0.0,0.4029892295683407,0.006141615100204945
2200,2.6209999999999996,0.0,0.38207127339659147,0.005887314677238464
2300,2.662999999999999,0.0,0.36231156396615544,0.009180095046758652
2400,2.817999999999999,0.0,0.34233907059659097,0.005223225802183151
2500,2.980999999999998,0.0,0.3218541830165854,0.004136207047849894
2600,2.9989999999999988,0.0,0.30317057624247196,0.010309244506061077
2700,3.1314999999999986,0.0,0.2838915558908622,0.006817922927439213
2800,3.537999999999997,0.0,0.2632985487027408,0.007975535467267036
2900,3.3744999999999976,0.0,0.24613623521043956,0.0033877298701554537
3000,3.5189999999999975,0.0,0.22844179560574834,0.010163730010390282
3100,3.467499999999997,0.0,0.21259264266062655,0.005830215290188789
3200,3.6364999999999976,0.01,0.1974082962201403,0.009786739945411682
3300,3.7854999999999968,0.0,0.1828141957568192,0.00903583224862814
3400,4.150499999999995,0.0,0.16712897638503943,0.00930436234921217
3500,4.489999999999995,0.0,0.15219477997642442,0.03865574300289154
3600,4.384999999999995,0.0,0.13860892413690853,0.007496981415897608
3700,4.503999999999994,0.0,0.12580733219064194,0.007064532022923231
3800,4.985999999999993,0.01,0.11342552415818936,0.02459888719022274
3900,4.787499999999993,0.0,0.10212945766940021,0.006933354306966066
4000,5.7379999999999916,0.02,0.09080690472885763,0.007341429591178894
4100,5.499999999999992,0.01,0.08079616371265406,0.011822156608104706
4200,6.0104999999999915,0.02,0.07123777248504899,0.008884252980351448
4300,6.37849999999999,0.01,0.06220381981799685,0.01163611188530922
4400,5.991499999999991,0.0,0.05462599750943898,0.009684713557362556
4500,7.004999999999991,0.03,0.049999124186081836,0.012616231106221676
4600,6.759999999999995,0.03,0.049999124186081836,0.020891431719064713
4700,7.509499999999995,0.07,0.049999124186081836,0.014073572121560574
4800,7.037999999999996,0.07,0.049999124186081836,0.029878729954361916
4900,7.526999999999992,0.08,0.049999124186081836,0.021542774513363838
5000,7.343499999999993,0.02,0.049999124186081836,0.034226901829242706
5100,8.584499999999993,0.1,0.049999124186081836,0.022167470306158066
5200,8.129499999999995,0.04,0.049999124186081836,0.040762148797512054
5300,7.990999999999994,0.07,0.049999124186081836,0.055101558566093445
5400,9.5315,0.08,0.049999124186081836,0.3284485936164856
5500,8.217999999999995,0.06,0.049999124186081836,0.06685201078653336
5600,9.165999999999999,0.13,0.049999124186081836,0.047744154930114746
5700,9.729000000000006,0.13,0.049999124186081836,0.04686084762215614
5800,10.55350000000001,0.17,0.049999124186081836,0.11088678240776062
5900,10.102500000000012,0.16,0.049999124186081836,0.04052224010229111
6000,11.688500000000023,0.26,0.049999124186081836,0.11501001566648483
6100,11.291500000000017,0.28,0.049999124186081836,0.07695643603801727
6200,12.97500000000003,0.4,0.049999124186081836,0.05853559076786041
6300,11.690500000000018,0.27,0.049999124186081836,0.09711789339780807
6400,12.384000000000023,0.35,0.049999124186081836,0.09075196087360382
6500,13.006000000000036,0.42,0.049999124186081836,0.08303867280483246
6600,12.799000000000037,0.39,0.049999124186081836,0.15204662084579468
6700,12.485500000000032,0.35,0.049999124186081836,0.2029591202735901
6800,14.391500000000049,0.47,0.049999124186081836,0.20854580402374268
6900,15.554500000000054,0.61,0.049999124186081836,0.20413832366466522
7000,15.361000000000063,0.62,0.049999124186081836,0.15267106890678406
7100,15.56900000000006,0.6,0.049999124186081836,0.08074796199798584
7200,15.764000000000058,0.63,0.049999124186081836,0.08558070659637451
7300,15.793000000000065,0.6,0.049999124186081836,0.1793656051158905
7400,15.451500000000056,0.55,0.049999124186081836,0.10827699303627014
7500,14.581500000000055,0.5,0.049999124186081836,0.07763729989528656
7600,14.231500000000048,0.52,0.049999124186081836,0.15636278688907623
7700,15.21050000000006,0.57,0.049999124186081836,0.17963598668575287
7800,16.77200000000007,0.68,0.049999124186081836,0.09061308205127716
7900,15.593000000000064,0.6,0.049999124186081836,0.17996928095817566
8000,14.983500000000056,0.56,0.049999124186081836,0.08464024215936661
8100,16.321000000000065,0.67,0.049999124186081836,0.11606493592262268
8200,15.93400000000006,0.61,0.049999124186081836,0.1173720508813858
8300,15.889500000000057,0.64,0.049999124186081836,0.09229667484760284
8400,15.680000000000053,0.56,0.049999124186081836,0.06747422367334366
8500,16.115000000000066,0.57,0.049999124186081836,0.11925985664129257
8600,16.32750000000007,0.61,0.049999124186081836,0.08489669859409332
8700,15.978500000000064,0.57,0.049999124186081836,0.10385865718126297
8800,14.775000000000052,0.53,0.049999124186081836,0.11931575834751129
8900,16.628500000000074,0.66,0.049999124186081836,0.11110777407884598
9000,16.81800000000007,0.67,0.049999124186081836,0.07801976054906845
9100,15.974500000000065,0.63,0.049999124186081836,0.09645335376262665
9200,16.23850000000007,0.61,0.049999124186081836,0.07711873948574066
9300,16.00600000000006,0.64,0.049999124186081836,0.04730776697397232
9400,15.493000000000059,0.6,0.049999124186081836,0.3803580403327942
9500,16.73900000000007,0.68,0.049999124186081836,0.0774202048778534
9600,15.567000000000057,0.52,0.049999124186081836,0.10602617263793945
9700,16.319500000000065,0.64,0.049999124186081836,0.08400172740221024
9800,16.810000000000073,0.67,0.049999124186081836,0.09375641494989395
9900,15.702000000000062,0.57,0.049999124186081836,0.061133526265621185
10000,15.941000000000063,0.58,0.049999124186081836,0.061461739242076874
10100,17.309000000000072,0.67,0.049999124186081836,0.08847316354513168
10200,15.924000000000058,0.56,0.049999124186081836,0.05417174473404884
10300,16.082000000000065,0.59,0.049999124186081836,0.1252385973930359
10400,16.568500000000068,0.62,0.049999124186081836,0.23839029669761658
10500,16.180500000000062,0.61,0.049999124186081836,0.0834219679236412
10600,15.677000000000055,0.54,0.049999124186081836,0.08361703157424927
10700,15.93400000000006,0.58,0.049999124186081836,0.0511510893702507
10800,16.332000000000065,0.64,0.049999124186081836,0.12115535140037537
10900,16.02550000000006,0.58,0.049999124186081836,0.0733446478843689
11000,16.59950000000007,0.58,0.049999124186081836,0.0477786585688591
11100,16.770000000000074,0.63,0.049999124186081836,0.14577138423919678
11200,16.01700000000006,0.55,0.049999124186081836,0.06665150821208954
11300,15.970000000000063,0.6,0.049999124186081836,0.042322173714637756
11400,14.586000000000046,0.54,0.049999124186081836,0.07220067083835602
11500,14.593000000000048,0.5,0.049999124186081836,0.13919924199581146
11600,17.05250000000007,0.7,0.049999124186081836,0.1542367935180664
11700,15.903000000000063,0.56,0.049999124186081836,0.07314963638782501
11800,14.953000000000054,0.51,0.049999124186081836,0.09643085300922394
11900,15.404500000000057,0.55,0.049999124186081836,0.04583340883255005
12000,16.847000000000072,0.67,0.049999124186081836,0.08564825356006622
12100,16.619000000000067,0.64,0.049999124186081836,0.10516966134309769
12200,15.387500000000054,0.54,0.049999124186081836,0.08272121101617813
12300,15.61550000000006,0.53,0.049999124186081836,0.11939464509487152
